video_id,user_id,title,category,views
1,568,video_1,Gaming,931797
2,3259,video_2,News,211384
3,2901,video_3,Entertainment,686236
4,2818,video_4,Music,436541
5,445,video_5,Music,191182
6,3642,video_6,Entertainment,213907
7,363,video_7,Education,196623
8,2171,video_8,Gaming,704272
9,1212,video_9,Education,473918
10,742,video_10,Music,281139
11,2042,video_11,Entertainment,983386
12,680,video_12,Entertainment,938813
13,2468,video_13,Education,235992
14,3698,video_14,Education,737796
15,3324,video_15,Gaming,242818
16,1643,video_16,News,717267
17,1573,video_17,News,547474
18,1359,video_18,Gaming,85737
19,2140,video_19,News,475343
20,3602,video_20,Music,682667
21,3938,video_21,News,369578
22,63,video_22,Gaming,676357
23,3734,video_23,News,587471
24,2560,video_24,Entertainment,95128
25,1163,video_25,Education,853489
26,3770,video_26,Music,621939
27,3257,video_27,Entertainment,865038
28,1229,video_28,Entertainment,662743
29,2820,video_29,Gaming,618412
30,3286,video_30,Education,868013
31,256,video_31,Education,262499
32,135,video_32,Music,515252
33,3645,video_33,Gaming,207727
34,875,video_34,Music,539875
35,822,video_35,News,500649
36,2136,video_36,Entertainment,543734
37,3908,video_37,Music,821582
38,3036,video_38,Entertainment,270988
39,3279,video_39,Gaming,418072
40,3201,video_40,News,61696
41,823,video_41,Gaming,738857
42,3075,video_42,News,942750
43,974,video_43,News,381884
44,2982,video_44,Entertainment,841564
45,1778,video_45,Gaming,829219
46,121,video_46,Gaming,177275
47,3457,video_47,Music,153148
48,1638,video_48,Gaming,849395
49,3110,video_49,Music,393907
50,1365,video_50,Education,6377
51,1008,video_51,Education,848392
52,925,video_52,Education,133432
53,645,video_53,Gaming,240615
54,2033,video_54,Gaming,784965
55,2762,video_55,Music,721343
56,2908,video_56,News,286985
57,2069,video_57,Music,381964
58,242,video_58,Education,299455
59,2503,video_59,Music,764852
60,3011,video_60,News,782833
61,2669,video_61,Gaming,434858
62,2351,video_62,Music,269113
63,1620,video_63,Education,486934
64,3667,video_64,Education,349860
65,803,video_65,Gaming,982336
66,964,video_66,Music,94615
67,69,video_67,News,150594
68,1153,video_68,Gaming,691073
69,196,video_69,Music,188188
70,2188,video_70,Entertainment,584498
71,3516,video_71,Education,219701
72,2331,video_72,News,733382
73,2360,video_73,News,296277
74,746,video_74,News,831745
75,3607,video_75,Education,260805
76,1689,video_76,Music,455309
77,277,video_77,Gaming,13038
